year,subject,school_code,school_name,group_code,school_type,city,major_name,direction,plan_count,tuition,joint_program,partner_school,remarks
2026,历史,C151,汉江师范学院,C15116,公办,十堰,小学教育,其他,10,4000,否,,(师范类；办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15116,公办,十堰,小学数学教育,其他,30,4000,否,,(师范类；办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,无人机应用技术,计算机|财经|旅游,38,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,计算机应用技术,计算机|财经|旅游,18,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,大数据技术,计算机|财经|旅游,18,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,婴幼儿托育服务与管理,计算机|财经|旅游,19,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,大数据与会计,计算机|财经|旅游,27,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,电子商务,计算机|财经|旅游,30,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,旅游管理,计算机|财经|旅游,47,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,网络新闻与传播,计算机|财经|旅游,57,4000,否,,(办学地点：丹江口校区)
2026,历史,C151,汉江师范学院,C15117,公办,十堰,商务英语,计算机|财经|旅游,136,4000,否,,(办学地点：丹江口校区；外语语种：英语)
2026,物理,C151,汉江师范学院,C15118,公办,十堰,小学教育,其他,19,4000,否,,(师范类；办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15118,公办,十堰,小学数学教育,其他,53,4000,否,,(师范类；办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,无人机应用技术,计算机|财经|旅游,129,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,计算机应用技术,计算机|财经|旅游,63,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,大数据技术,计算机|财经|旅游,62,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,婴幼儿托育服务与管理,计算机|财经|旅游,10,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,大数据与会计,计算机|财经|旅游,50,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,电子商务,计算机|财经|旅游,55,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,旅游管理,计算机|财经|旅游,29,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,网络新闻与传播,计算机|财经|旅游,21,4000,否,,(办学地点：丹江口校区)
2026,物理,C151,汉江师范学院,C15119,公办,十堰,商务英语,计算机|财经|旅游,73,4000,否,,(办学地点：丹江口校区；外语语种：英语)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,计算机网络技术,计算机|财经|建筑|旅游,13,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,大数据技术,计算机|财经|建筑|旅游,10,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,工业软件开发技术,计算机|财经|建筑|旅游,10,5000,否,,(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,建筑工程技术,计算机|财经|建筑|旅游,10,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,工程造价,计算机|财经|建筑|旅游,10,5000,否,,(办学地点：光谷校区)
