year,subject,score,rank_from,rank_to,count,remarks
2026,历史,680,11,12,2,真实一分一段数据
2026,历史,677,624,636,13,原始累计人数存在单调性异常，请复核
2026,历史,674,14,15,2,原始累计人数存在单调性异常，请复核
2026,历史,673,619,634,16,原始累计人数存在单调性异常，请复核
2026,历史,671,617,633,17,原始累计人数存在单调性异常，请复核
2026,历史,670,18,20,3,原始累计人数存在单调性异常，请复核
2026,历史,669,21,22,2,真实一分一段数据
2026,历史,668,23,23,1,真实一分一段数据
2026,历史,667,24,25,2,真实一分一段数据
2026,历史,666,597,628,32,原始累计人数存在单调性异常，请复核
2026,历史,665,33,37,5,原始累计人数存在单调性异常，请复核
2026,历史,664,38,40,3,真实一分一段数据
2026,历史,663,41,46,6,真实一分一段数据
2026,历史,662,47,49,3,真实一分一段数据
2026,历史,661,50,51,2,真实一分一段数据
2026,历史,660,52,60,9,真实一分一段数据
2026,历史,659,61,68,8,真实一分一段数据
2026,历史,658,69,74,6,真实一分一段数据
2026,历史,657,75,85,11,真实一分一段数据
2026,历史,656,86,96,11,真实一分一段数据
2026,历史,655,97,106,10,真实一分一段数据
2026,历史,654,107,121,15,真实一分一段数据
2026,历史,653,122,132,11,真实一分一段数据
2026,历史,652,134,148,15,真实一分一段数据
2026,历史,651,149,160,12,真实一分一段数据
2026,历史,650,161,176,16,真实一分一段数据
2026,历史,649,177,193,17,真实一分一段数据
2026,历史,648,194,213,20,真实一分一段数据
2026,历史,647,214,235,22,真实一分一段数据
2026,历史,646,236,251,16,真实一分一段数据
2026,历史,645,252,270,19,真实一分一段数据
2026,历史,644,271,293,23,真实一分一段数据
2026,历史,643,294,318,25,真实一分一段数据
2026,历史,642,319,336,18,真实一分一段数据
2026,历史,641,337,360,24,真实一分一段数据
2026,历史,640,361,379,19,真实一分一段数据
2026,历史,639,380,409,30,真实一分一段数据
2026,历史,638,410,437,28,真实一分一段数据
2026,历史,561,10780,11072,293,真实一分一段数据
2026,历史,560,11073,11332,260,真实一分一段数据
2026,历史,559,11333,11610,278,真实一分一段数据
2026,历史,558,11611,11895,285,真实一分一段数据
2026,历史,557,11896,12181,286,真实一分一段数据
2026,历史,556,12182,12436,255,真实一分一段数据
2026,历史,555,12437,12721,285,真实一分一段数据
2026,历史,554,12722,13005,284,真实一分一段数据
2026,历史,553,13006,13313,308,真实一分一段数据
2026,历史,552,13314,13581,268,真实一分一段数据
2026,历史,551,13582,13891,310,真实一分一段数据
2026,历史,550,13892,14209,318,真实一分一段数据
2026,历史,549,14210,14500,291,真实一分一段数据
2026,历史,548,14501,14787,287,真实一分一段数据
2026,历史,547,14788,15095,308,真实一分一段数据
2026,历史,546,15096,15440,345,真实一分一段数据
2026,历史,545,15441,15709,269,真实一分一段数据
2026,历史,544,15710,16008,299,真实一分一段数据
2026,历史,543,16009,16369,361,真实一分一段数据
2026,历史,542,16370,16669,300,真实一分一段数据
2026,历史,541,16670,16985,316,真实一分一段数据
2026,历史,540,16986,17303,318,真实一分一段数据
2026,历史,539,17304,17654,351,真实一分一段数据
2026,历史,538,17655,17982,328,真实一分一段数据
2026,历史,537,17983,18308,326,真实一分一段数据
2026,历史,536,18309,18593,285,真实一分一段数据
2026,历史,535,18594,18925,332,真实一分一段数据
2026,历史,534,18926,19244,319,真实一分一段数据
2026,历史,533,19245,19593,349,真实一分一段数据
2026,历史,532,19594,19955,362,真实一分一段数据
2026,历史,531,19956,20277,322,真实一分一段数据
2026,历史,530,20278,20607,330,真实一分一段数据
2026,历史,529,20608,20929,322,真实一分一段数据
2026,历史,528,20930,21251,322,真实一分一段数据
2026,历史,527,21252,21632,381,真实一分一段数据
2026,历史,526,21633,22003,371,真实一分一段数据
2026,历史,525,22004,22327,324,真实一分一段数据
2026,历史,524,22328,22652,325,真实一分一段数据
2026,历史,523,22653,23012,360,真实一分一段数据
2026,历史,522,23013,23355,343,真实一分一段数据
2026,历史,521,23356,23708,353,真实一分一段数据
2026,历史,520,23709,24054,346,真实一分一段数据
2026,历史,435,58174,58633,460,真实一分一段数据
2026,历史,434,58634,59120,487,真实一分一段数据
