year,subject,score,rank_from,rank_to,count,remarks
2026,物理,710,21,21,1,真实一分一段数据
2026,物理,705,642,663,22,原始累计人数存在单调性异常，请复核
2026,物理,700,632,662,31,原始累计人数存在单调性异常，请复核
2026,物理,699,32,34,3,原始累计人数存在单调性异常，请复核
2026,物理,698,35,43,9,真实一分一段数据
2026,物理,697,44,48,5,真实一分一段数据
2026,物理,696,49,60,12,真实一分一段数据
2026,物理,695,61,76,16,真实一分一段数据
2026,物理,694,77,85,9,真实一分一段数据
2026,物理,693,86,106,21,真实一分一段数据
2026,物理,692,107,127,21,真实一分一段数据
2026,物理,691,128,142,15,真实一分一段数据
2026,物理,690,143,159,17,真实一分一段数据
2026,物理,689,160,186,27,真实一分一段数据
2026,物理,688,187,205,19,真实一分一段数据
2026,物理,687,206,234,29,真实一分一段数据
2026,物理,686,235,265,31,真实一分一段数据
2026,物理,685,266,308,43,真实一分一段数据
2026,物理,684,309,355,47,真实一分一段数据
2026,物理,683,356,385,30,真实一分一段数据
2026,物理,682,386,422,37,真实一分一段数据
2026,物理,681,423,468,46,真实一分一段数据
2026,物理,680,469,526,58,真实一分一段数据
2026,物理,679,527,573,47,真实一分一段数据
2026,物理,678,574,633,60,真实一分一段数据
2026,物理,677,634,686,53,真实一分一段数据
2026,物理,676,687,734,48,真实一分一段数据
2026,物理,675,735,813,79,真实一分一段数据
2026,物理,674,814,881,68,真实一分一段数据
2026,物理,673,882,965,84,真实一分一段数据
2026,物理,672,966,1053,88,真实一分一段数据
2026,物理,671,1054,1130,77,真实一分一段数据
2026,物理,670,1131,1201,71,真实一分一段数据
2026,物理,669,1202,1295,94,真实一分一段数据
2026,物理,668,1296,1394,99,真实一分一段数据
2026,物理,667,1395,1500,106,真实一分一段数据
2026,物理,666,1501,1607,107,真实一分一段数据
2026,物理,665,1608,1719,112,真实一分一段数据
2026,物理,588,30545,31239,695,真实一分一段数据
2026,物理,587,31240,31944,705,真实一分一段数据
2026,物理,586,31945,32649,705,真实一分一段数据
2026,物理,585,32650,33321,672,真实一分一段数据
2026,物理,584,33322,33955,634,真实一分一段数据
2026,物理,583,33956,34660,705,真实一分一段数据
2026,物理,582,34661,35364,704,真实一分一段数据
2026,物理,581,35365,36041,677,真实一分一段数据
2026,物理,580,36042,36761,720,真实一分一段数据
2026,物理,579,36762,37515,754,真实一分一段数据
2026,物理,578,37516,38278,763,真实一分一段数据
2026,物理,577,38279,38985,707,真实一分一段数据
2026,物理,576,38986,39725,740,真实一分一段数据
2026,物理,575,39726,40443,718,真实一分一段数据
2026,物理,574,40444,41187,744,真实一分一段数据
2026,物理,573,41188,41940,753,真实一分一段数据
2026,物理,572,41941,42703,763,真实一分一段数据
2026,物理,571,42704,43465,762,真实一分一段数据
2026,物理,570,43466,44266,801,真实一分一段数据
2026,物理,569,44267,45032,766,真实一分一段数据
2026,物理,568,45033,45880,848,真实一分一段数据
2026,物理,567,45881,46670,790,真实一分一段数据
2026,物理,566,46671,47464,794,真实一分一段数据
2026,物理,565,47465,48234,770,真实一分一段数据
2026,物理,564,48235,49109,875,真实一分一段数据
2026,物理,563,49110,49959,850,真实一分一段数据
2026,物理,562,49960,50771,812,真实一分一段数据
2026,物理,561,50772,51599,828,真实一分一段数据
2026,物理,560,51600,52419,820,真实一分一段数据
2026,物理,559,52420,53275,856,真实一分一段数据
2026,物理,558,53276,54154,879,真实一分一段数据
2026,物理,557,54155,55029,875,真实一分一段数据
2026,物理,556,55030,55865,836,真实一分一段数据
2026,物理,555,55866,56676,811,真实一分一段数据
2026,物理,554,56677,57499,823,真实一分一段数据
2026,物理,553,57500,58432,933,真实一分一段数据
2026,物理,552,58433,59302,870,真实一分一段数据
2026,物理,551,59303,60178,876,真实一分一段数据
2026,物理,550,60179,61063,885,真实一分一段数据
2026,物理,549,61064,61910,847,真实一分一段数据
2026,物理,548,61911,62815,905,真实一分一段数据
2026,物理,547,62816,63660,845,真实一分一段数据
2026,物理,462,133679,134380,702,真实一分一段数据
2026,物理,461,134381,135122,742,真实一分一段数据
2026,物理,460,135123,135849,727,真实一分一段数据
2026,物理,459,135850,136599,750,真实一分一段数据
2026,物理,458,136600,137333,734,真实一分一段数据
2026,物理,457,137334,138042,709,真实一分一段数据
2026,物理,456,138043,138818,776,真实一分一段数据
2026,物理,455,138819,139558,740,真实一分一段数据
2026,物理,454,139559,140317,759,真实一分一段数据
2026,物理,453,140318,141054,737,真实一分一段数据
