school_code,school_name,school_type,city,region,featured_majors,joint_program,website,remarks
C151,汉江师范学院,公办,十堰,省内其他,计算机|财经|旅游,否,,数据来自2026年招生计划
C170,武汉职业技术大学,公办,武汉,武汉,计算机|财经|建筑|旅游|机械|电力,是,,数据来自2026年招生计划
C171,襄阳职业技术大学,公办,襄阳,省内其他,机械|建筑|计算机|财经|学前教育|旅游|护理,是,,数据来自2026年招生计划
C172,黄冈职业技术大学,公办,黄冈,省内其他,护理|电力|建筑|机械|计算机|财经|旅游,是,,数据来自2026年招生计划
C173,湖北三峡职业技术大学,公办,宜昌,省内其他,计算机|建筑|护理|财经|旅游|电力|机械,是,,数据来自2026年招生计划
C201,武汉东湖学院,民办,武汉,武汉,护理|财经|建筑|旅游|计算机|机械,否,,数据来自2026年招生计划
C202,武汉晴川学院,民办,武汉,武汉,电力|财经,否,,数据来自2026年招生计划
C203,文华学院,民办,武汉,武汉,财经|建筑|计算机|机械,否,,数据来自2026年招生计划
C205,武昌首义学院,民办,武汉,武汉,计算机|电力|财经|建筑|机械,否,,数据来自2026年招生计划
C206,汉口学院,民办,武汉,武汉,财经|计算机,否,,数据来自2026年招生计划
C207,武汉传媒学院,民办,武汉,武汉,财经,否,,数据来自2026年招生计划
C209,武汉设计工程学院,民办,武汉,武汉,计算机|护理,否,,数据来自2026年招生计划
C210,武汉工程科技学院,民办,武汉,武汉,计算机|电力|财经|建筑|机械,否,,数据来自2026年招生计划
C212,武汉城市学院,民办,武汉,武汉,计算机|护理|财经|建筑|机械,否,,数据来自2026年招生计划
C215,武昌理工学院,民办,武汉,武汉,计算机|护理|财经|建筑|机械|旅游,否,,数据来自2026年招生计划
C217,武汉工商学院,民办,武汉,武汉,计算机|财经|机械,否,,数据来自2026年招生计划
C218,荆州学院,民办,荆州,省内其他,计算机|财经|建筑|机械,否,,数据来自2026年招生计划
C219,长江大学文理学院,民办,荆州,省内其他,计算机|机械|财经,否,,数据来自2026年招生计划
C220,三峡大学科技学院,民办,宜昌,省内其他,财经|计算机|电力|建筑,否,,数据来自2026年招生计划
C221,武汉体育学院体育科技学院,民办,武汉,武汉,,否,,数据来自2026年招生计划
C223,武汉文理学院,民办,武汉,武汉,护理|财经|机械|建筑,否,,数据来自2026年招生计划
C225,武汉工程大学邮电与信息工程学院,民办,武汉,武汉,财经|计算机|电力|建筑,否,,数据来自2026年招生计划
C228,武汉纺织大学外经贸学院,民办,武汉,武汉,计算机|财经|机械,否,,数据来自2026年招生计划
C229,湖北文理学院理工学院,民办,襄阳,省内其他,计算机|铁路|财经|建筑|机械,否,,数据来自2026年招生计划
C230,湖北工程学院新技术学院,民办,孝感,省内其他,计算机|财经|建筑|机械,否,,数据来自2026年招生计划
C231,湖北经济学院法商学院,民办,武汉,武汉,财经|旅游|计算机,否,,数据来自2026年招生计划
C232,湖北恩施学院,民办,恩施,省内其他,计算机|护理|财经|建筑|旅游,否,,数据来自2026年招生计划
C233,湖北工业大学工程技术学院,民办,武汉,武汉,财经|计算机,否,,数据来自2026年招生计划
C235,湖北商贸学院,民办,武汉,武汉,计算机|财经|建筑|机械|旅游,否,,数据来自2026年招生计划
C237,湖北师范大学文理学院,民办,黄石,省内其他,计算机|财经|机械,否,,数据来自2026年招生计划
C238,武汉生物工程学院,民办,武汉,武汉,计算机|财经|建筑|机械|旅游,否,,数据来自2026年招生计划
C239,湖北三峡航空学院,民办,宜昌,省内其他,计算机|机械,否,,数据来自2026年招生计划
C501,武汉船舶职业技术学院,公办,武汉,武汉,电力|财经|建筑|机械|旅游|计算机,是,,数据来自2026年招生计划
C502,湖北科技职业学院,公办,武汉,武汉,计算机|电力|财经|建筑|机械|旅游,是,,数据来自2026年招生计划
C503,武汉航海职业技术学院,公办,武汉,武汉,计算机|铁路|建筑|旅游,否,,数据来自2026年招生计划
