year,subject,school_code,school_name,group_code,min_score,min_rank,remarks
2024,物理,C209,武汉设计工程学院,C20906,310,217175,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C217,武汉工商学院,C21710,354,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C217,武汉工商学院,C21711,260,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C220,三峡大学科技学院,C22006,369,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C225,武汉工程大学邮电与信息工程学院,C22505,320,212372,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C228,武汉纺织大学外经贸学院,C22806,321,211899,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C229,湖北文理学院理工学院,C22905,291,225410,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C230,湖北工程学院新技术学院,C23005,325,209918,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C231,湖北经济学院法商学院,C23107,321,211899,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C231,湖北经济学院法商学院,C23108,358,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C231,湖北经济学院法商学院,C23109,384,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C232,湖北恩施学院,C23213,269,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C233,湖北工业大学工程技术学院,C23305,393,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C235,湖北商贸学院,C23505,271,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C238,武汉生物工程学院,C23808,354,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C501,武汉船舶职业技术学院,C50108,385,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C501,武汉船舶职业技术学院,C50109,427,147694,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C501,武汉船舶职业技术学院,C50110,429,146179,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C501,武汉船舶职业技术学院,C50111,394,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C501,武汉船舶职业技术学院,C50112,445,134117,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C501,武汉船舶职业技术学院,C50113,436,141000,专业组代码直接匹配；位次由2024年一分一段表换算
2024,物理,C502,湖北科技职业学院,C50204,377,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C502,湖北科技职业学院,C50205,408,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C502,湖北科技职业学院,C50206,382,,专业组代码直接匹配；对应分数缺少一分一段记录
2024,物理,C502,湖北科技职业学院,C50207,434,142516,专业组代码直接匹配；位次由2024年一分一段表换算
